video_type	frame_index	timestamp
scene	319	12.742800
scene	320	12.782800
scene	321	12.823200
scene	322	12.863200
scene	323	12.903200
scene	324	12.943200
scene	325	12.983200
scene	326	13.023200
scene	327	13.063600
scene	328	13.103600
scene	329	13.143600
scene	330	13.183600
scene	331	13.223600
scene	332	13.264000
scene	333	13.304000
scene	334	13.344000
scene	335	13.384000
scene	336	13.424000
scene	337	13.464000
scene	338	13.504400
scene	339	13.544400
scene	340	13.584400
scene	341	13.624400
scene	342	13.664400
scene	343	13.704800
scene	344	13.744800
scene	345	13.784800
scene	346	13.824800
scene	347	13.864800
scene	348	13.904800
scene	349	13.945200
scene	350	13.985200
scene	351	14.025200
scene	352	14.065200
scene	353	14.105200
scene	354	14.145600
scene	355	14.185600
scene	356	14.225600
scene	357	14.265600
scene	358	14.305600
scene	359	14.345600
scene	360	14.386000
scene	361	14.426000
scene	362	14.466000
scene	363	14.506000
scene	364	14.546000
scene	365	14.586400
scene	366	14.626400
scene	367	14.666400
scene	368	14.706400
scene	369	14.746400
scene	370	14.786400
scene	371	14.826800
scene	372	14.866800
scene	373	14.906800
scene	374	14.946800
scene	375	14.986800
scene	376	15.027200
scene	377	15.067200
scene	378	15.107200
scene	379	15.147200
scene	380	15.187200
scene	381	15.227200
scene	382	15.267600
scene	383	15.307600
scene	384	15.347600
scene	385	15.387600
scene	386	15.427600
scene	387	15.468000
scene	388	15.508000
scene	389	15.548000
scene	390	15.588000
scene	391	15.628000
scene	392	15.668000
scene	393	15.708400
scene	394	15.748400
scene	395	15.788400
scene	396	15.828400
scene	397	15.868400
scene	398	15.908800
scene	399	15.948800
scene	400	15.988800
scene	401	16.028800
scene	402	16.068800
scene	403	16.108800
scene	404	16.149200
scene	405	16.189200
scene	406	16.229200
scene	407	16.269200
scene	408	16.309200
scene	409	16.349600
scene	410	16.389600
scene	411	16.429600
scene	412	16.469600
scene	413	16.509600
scene	414	16.549600
scene	415	16.590000
scene	416	16.630000
scene	417	16.670000
scene	418	16.710000
scene	419	16.750000
scene	420	16.790400
scene	421	16.830400
scene	422	16.870400
scene	423	16.910400
scene	424	16.950400
scene	425	16.990400
scene	426	17.030800
scene	427	17.070800
scene	428	17.110800
scene	429	17.150800
scene	430	17.190800
scene	431	17.231200
scene	432	17.271200
scene	433	17.311200
scene	434	17.351200
scene	435	17.391200
