timestamp	magnetometer_x	magnetometer_y	magnetometer_z
1.244790e-01	-5.222e+01	2.204e+02	2.718e+02
2.260410e-01	-5.201e+01	2.215e+02	2.963e+02
3.304110e-01	-5.431e+01	2.214e+02	2.965e+02
4.292270e-01	-5.188e+01	2.210e+02	2.944e+02
5.307590e-01	-5.432e+01	2.217e+02	2.962e+02
6.323830e-01	-5.131e+01	2.210e+02	2.938e+02
7.338540e-01	-5.419e+01	2.221e+02	2.958e+02
8.354770e-01	-5.228e+01	2.212e+02	2.936e+02
9.369790e-01	-5.394e+01	2.217e+02	2.966e+02
1.038572e+00	-5.416e+01	2.214e+02	2.934e+02
1.140134e+00	-5.380e+01	2.221e+02	2.956e+02
1.241697e+00	-5.383e+01	2.221e+02	2.940e+02
1.343290e+00	-5.416e+01	2.220e+02	2.966e+02
1.444852e+00	-5.441e+01	2.226e+02	2.953e+02
1.546415e+00	-5.433e+01	2.222e+02	2.963e+02
1.647977e+00	-5.446e+01	2.222e+02	2.955e+02
1.749586e+00	-5.444e+01	2.220e+02	2.960e+02
1.851149e+00	-5.387e+01	2.219e+02	2.958e+02
1.953047e+00	-5.427e+01	2.218e+02	2.960e+02
2.054304e+00	-5.422e+01	2.226e+02	2.956e+02
2.155836e+00	-5.435e+01	2.224e+02	2.948e+02
2.257399e+00	-5.443e+01	2.228e+02	2.954e+02
2.358961e+00	-5.442e+01	2.224e+02	2.952e+02
2.460524e+00	-5.512e+01	2.228e+02	2.955e+02
2.562147e+00	-5.470e+01	2.230e+02	2.950e+02
2.663618e+00	-5.446e+01	2.229e+02	2.955e+02
2.765242e+00	-5.453e+01	2.228e+02	2.956e+02
2.866804e+00	-5.432e+01	2.230e+02	2.952e+02
2.968336e+00	-5.405e+01	2.228e+02	2.947e+02
3.069899e+00	-5.453e+01	2.229e+02	2.946e+02
3.171461e+00	-5.503e+01	2.228e+02	2.946e+02
3.273024e+00	-5.442e+01	2.226e+02	2.939e+02
3.374557e+00	-5.451e+01	2.229e+02	2.949e+02
3.476150e+00	-5.466e+01	2.230e+02	2.949e+02
3.577682e+00	-5.432e+01	2.225e+02	2.943e+02
3.679275e+00	-5.497e+01	2.228e+02	2.947e+02
3.788620e+00	-5.493e+01	2.233e+02	2.940e+02
3.882370e+00	-5.502e+01	2.228e+02	2.948e+02
3.983902e+00	-5.514e+01	2.228e+02	2.947e+02
4.085495e+00	-5.510e+01	2.228e+02	2.947e+02
4.187057e+00	-5.499e+01	2.230e+02	2.948e+02
4.288620e+00	-5.455e+01	2.225e+02	2.948e+02
4.390182e+00	-5.336e+01	2.226e+02	2.942e+02
4.491745e+00	-5.482e+01	2.229e+02	2.944e+02
4.593429e+00	-5.239e+01	2.226e+02	2.944e+02
4.694931e+00	-5.510e+01	2.230e+02	2.944e+02
4.796432e+00	-5.232e+01	2.219e+02	2.941e+02
4.897995e+00	-5.497e+01	2.232e+02	2.941e+02
4.999655e+00	-5.230e+01	2.224e+02	2.926e+02
5.101065e+00	-5.451e+01	2.232e+02	2.941e+02
5.202628e+00	-5.212e+01	2.223e+02	2.920e+02
5.304190e+00	-5.488e+01	2.236e+02	2.951e+02
5.405753e+00	-5.209e+01	2.222e+02	2.920e+02
5.507346e+00	-5.534e+01	2.235e+02	2.945e+02
5.608908e+00	-5.245e+01	2.220e+02	2.921e+02
5.710440e+00	-5.508e+01	2.228e+02	2.943e+02
5.812155e+00	-5.244e+01	2.226e+02	2.917e+02
5.913596e+00	-5.534e+01	2.231e+02	2.937e+02
6.015128e+00	-5.234e+01	2.217e+02	2.918e+02
6.116660e+00	-5.505e+01	2.226e+02	2.938e+02
6.218222e+00	-5.248e+01	2.220e+02	2.910e+02
6.319846e+00	-5.265e+01	2.222e+02	2.918e+02
6.421347e+00	-5.531e+01	2.226e+02	2.937e+02
6.522971e+00	-5.266e+01	2.221e+02	2.912e+02
6.624576e+00	-5.553e+01	2.228e+02	2.937e+02
6.726169e+00	-5.485e+01	2.218e+02	2.919e+02
6.827731e+00	-5.515e+01	2.226e+02	2.940e+02
6.929263e+00	-5.574e+01	2.228e+02	2.920e+02
7.030826e+00	-5.535e+01	2.229e+02	2.941e+02
7.132419e+00	-5.560e+01	2.233e+02	2.922e+02
7.233951e+00	-5.492e+01	2.225e+02	2.936e+02
7.335513e+00	-5.559e+01	2.227e+02	2.934e+02
7.437076e+00	-5.560e+01	2.224e+02	2.939e+02
7.538638e+00	-5.564e+01	2.223e+02	2.914e+02
