Time	Gaze X	Gaze Y	Left Pupil	Right Pupil
0.13449				
0.154715	0.483844161	0.312009645	2.960190773	2.709974766
0.174945	0.491567504	0.312605525	2.866377115	2.853609085
0.194791	0.492071956	0.383741163	2.85662818	3.141190529
0.212557	0.474665113	0.297132834	2.776734114	
0.231999	0.437524003	0.31245123	2.787378788	3.04431057
0.252286	0.459245851	0.368251588	2.848011255	2.964017391
0.272323				
0.292397	0.473593775	0.353849981	2.805178881	
0.312369	0.4894455	0.355974566	2.777417898	
0.332466	0.479440381	0.360857398	2.76599884	3.07013011
0.352445	0.483680663	0.353555457	2.815113783	3.057921648
0.372538	0.482618338	0.354255232	2.821890831	3.070807219
0.392517	0.495197969	0.348815538	2.841105223	3.020574808
0.412611	0.488317698	0.355205847	2.83691597	3.031423092
0.432589	0.484526907	0.358550927	2.846228123	3.03998971
0.452684	0.487066113	0.356022657	2.847474098	3.052039385
0.472662	0.487667253	0.35517345	2.854432106	3.052132845
0.492756	0.488276429	0.354960156	2.857373238	3.050232172
0.512734	0.488449932	0.35517446	2.859738111	3.050004482
0.532828	0.489887437	0.355597813	2.843552589	3.051934719
0.552807	0.487422001	0.355773321	2.852365732	3.04289937
0.572901	0.486417013	0.355710795	2.860065699	3.040844202
0.592879	0.485685785	0.355349157	2.861388683	3.041578531
0.612974	0.487271611	0.3559012	2.844136477	3.049530029
0.632952	0.486455349	0.354034817	2.859898806	3.050879955
0.653046	0.488268658	0.353760817	2.861544371	3.048089027
0.673025	0.489549671	0.353619157	2.858299255	3.049984932
0.693118	0.490631081	0.352053468	2.854819536	3.054088831
0.713097	0.492899051	0.351871981	2.839845657	3.049088955
0.733191	0.491776019	0.352703522	2.835853815	3.048796177
0.75317	0.489016165	0.35313206	2.828028202	3.058100462
0.773263	0.487949461	0.353069273	2.824954748	3.067456722
0.793242	0.487089368	0.352339281	2.821704865	3.076086998
0.813336	0.48400804	0.360778075	2.817765713	
0.833314	0.48475548	0.361548803	2.805626869	
0.853408	0.489024874	0.364640814	2.786494493	
0.873387	0.511183799	0.329820245	2.903704643	
0.89348				
0.913459	0.457770265	0.394716359	0.981940104	
0.933553	0.496232492	0.319890495	2.839356899	3.808342934
0.953532	0.558970856	0.315962521	0.972916844	
0.973626	0.526482656	0.357722799	0.984210498	
0.993605	0.509226619	0.39982161	0.991218621	
1.013698	0.503717809	0.422550389	0.993861601	
1.033677	0.494976552	0.394599206	2.757516861	3.2377069
1.053771	0.493528958	0.400089974	2.74981451	3.230846167
1.07375	0.495475908	0.402260241	2.775630713	3.237701654
1.093843	0.495904562	0.400042199	2.779836893	3.227422714
1.113822	0.498481239	0.40324157	2.79067564	3.238107681
1.133916	0.495792394	0.392630884	2.792073727	3.19100666
1.153895	0.49421157	0.384640973	2.799542189	3.159647226
1.173988	0.493110491	0.37796177	2.798467159	3.100912571
1.193967	0.509541083	0.335320492	2.803717852	2.95052743
1.21406	0.515914211	0.319488848	2.807872295	2.890185833
1.23404	0.501841565	0.344274231	2.807777643	3.029948235
1.254133	0.502099971	0.324888895	2.812722445	3.02086091
1.274112	0.498279425	0.296481032	2.821003675	3.037013292
1.294206	0.495745565	0.287395257	2.822998047	3.044027328
1.314185	0.493871888	0.281528898	2.826908827	3.041964531
1.334278	0.494394016	0.279624591	2.832319498	3.026615381
1.354257	0.495004318	0.279089149	2.833231211	3.010701895
1.374351	0.495292643	0.27871757	2.832336426	3.000101566
1.39433	0.495449559	0.275907537	2.83048892	3.005254984
1.414423	0.495946345	0.275016335	2.836423397	2.99565959
1.434402	0.49120463	0.270720959	2.838723421	3.009744883
1.454496	0.493322213	0.269132184	2.827221394	2.987835169
1.474475	0.485823534	0.275282464	2.822124004	3.030049801
1.494568	0.484802419	0.273714892	2.819164515	3.012090921
1.514547	0.487076067	0.290691263	2.763707638	2.991497278
1.534641	0.493674899	0.276244095	2.752351522	2.970205784
1.55462	0.494348048	0.273917288	2.744301081	2.992188215
1.574714	0.496975873	0.274270378	2.74141717	2.913341761
1.594692	0.496539238	0.269222848	2.703642607	2.927666426
1.614786	0.497199191	0.268986976	2.712778568	2.931971312
1.634765	0.498045717	0.271690614	2.706438303	2.927159786
1.654858	0.494413749	0.272245544	2.77287817	2.935096979
1.674837	0.492974747	0.270883209	2.775526047	2.944086552
1.694931	0.496457878	0.269572944	2.723671913	2.948529243
1.71491	0.497927531	0.25656534	2.738113642	2.953008175
1.735004	0.502184523	0.262274505	2.655800581	2.960910559
1.754982	0.498262463	0.258324037	2.695903778	2.954542875
1.775076	0.499614357	0.264950639	2.664556265	2.967960835
1.795055	0.499777943	0.265294789	2.650840998	2.972074986
1.815148	0.499499192	0.264527353	2.638284445	2.984205246
1.835127	0.499169388	0.263631978	2.616687298	3.001504421
1.855221	0.502526134	0.254846493	2.587209702	3.015211105
1.8752	0.500644432	0.246938349	2.626521826	3.023970604
1.895293	0.514209064	0.207288941	0.943162275	
1.915272	0.500565101	0.249869957	0.957832103	
1.935366	0.463600782	0.2468387	2.646322727	3.014476538
1.955345	0.474185206	0.270793753	2.844792366	2.989757776
1.975438	0.482097033	0.284642786	0.967467741	
1.995417	0.48118565	0.29069071	0.969071767	
2.015511	0.477204033	0.29051694	0.968649766	
2.03549	0.479485914	0.293523145	0.969692653	
2.055583	0.469296217	0.244406752	2.876521111	2.968823195
2.075563	0.467615558	0.223027387	0.943745575	
2.095656	0.478143231	0.228217925	0.947226606	
2.115635	0.481629774	0.233538429	0.949466775	
2.135729	0.480099829	0.246615149	2.871388912	3.016662598
2.155707	0.485943545	0.278757201	0.963470989	
2.175801	0.478043075	0.251224369	2.879423857	2.993279696
2.19578	0.50311587	0.272905977	0.960751692	
2.215873	0.505740215	0.266591547	0.959228453	
2.235853	0.506647925	0.264362424	0.958654477	
2.255946	0.507841728	0.2659273	0.959242259	
2.275925	0.470239442	0.228645393	2.802501917	3.016345501
2.296019	0.520146582	0.278787024	0.963990667	
2.315997	0.478184886	0.284664297	2.885998726	3.088794708
2.33609	0.505563068	0.309976791	2.983452559	2.991104603
2.35607	0.489844151	0.3274593	2.867715836	
2.376163	0.483138605	0.338139853	2.837186337	
2.396142	0.490471959	0.35932724	2.784908533	3.080167055
2.416235	0.50343663	0.398251984	0.990977878	
2.436215				
2.456308				
2.476287	0.508949209	0.416276803	0.993724818	
2.49638	0.515584174	0.430998645	0.99561074	
2.51636				
2.536453				
2.556432	0.479623871	0.368191657	2.927290916	
2.576526				
2.596504	0.475976408	0.374717911	2.992025852	
2.616598	0.483464068	0.366620548	2.97287488	
2.636577	0.483599642	0.36744456	2.963025808	
2.65667				
2.67665	0.482434098	0.368882983	2.969877958	
2.696743				
2.716722				
2.736816	0.414764203	0.281305513	2.820738077	
2.756795				
2.776888				
2.796867				
2.81696	0.481146353	0.351869241	2.858289003	3.24853754
2.83694	0.483846806	0.329605424	2.851992369	3.225585461
2.857033	0.483906275	0.283396015	2.784831524	3.167854548
2.877013	0.482533848	0.279473983	2.79868412	3.155408144
2.897106	0.482541582	0.280155635	2.776690483	3.151402473
2.917085	0.481450127	0.28657817	2.773613691	3.132045507
2.937179	0.487822369	0.291852047	2.84518218	3.137644768
2.957157	0.488404768	0.309696012	0.971012784	
2.977251	0.48694904	0.312628059	0.971520658	
2.997229	0.486638548	0.312548628	0.971454951	
3.017324	0.449048397	0.252483012	2.812797785	3.090747595
3.037302	0.486458333	0.307879756	0.970258723	
3.057396	0.486875192	0.309522577	0.970729624	
3.077375	0.433228127	0.234930485	2.808560133	3.11414361
